stage,pose_ix,prev_stamp,curr_stamp,prev_frame_index,curr_frame_index,gap,residual_deg,alpha,alpha_base,row_scale,confidence,applied,reason
frontend,3,2.0,3.0,2,3,1,0.24634624762167906,0.0008330833911895752,0.002,1.0,0.4165416955947876,1,ok
frontend,4,3.0,4.0,3,4,1,0.22534994639124253,0.000834048092365265,0.002,1.0,0.41702404618263245,1,ok
frontend,5,4.0,5.0,4,5,1,0.21965275948593013,0.0008406912088394165,0.002,1.0,0.42034560441970825,1,ok
frontend,6,5.0,6.0,5,6,1,0.23222304863244916,0.0008467087745666505,0.002,1.0,0.4233543872833252,1,ok
frontend,7,6.0,7.0,6,7,1,0.2297827286370069,0.0008438966274261475,0.002,1.0,0.42194831371307373,1,ok
frontend,1,0.0,1.0,0,1,1,0.2034441570804725,0.0007929138541221619,0.002,1.0,0.39645692706108093,1,ok
frontend,2,1.0,2.0,1,2,1,0.24070139568980192,0.0007998521327972412,0.002,1.0,0.3999260663986206,1,ok
frontend,3,2.0,3.0,2,3,1,0.22333481451903006,0.0008043444752693176,0.002,1.0,0.4021722376346588,1,ok
frontend,4,3.0,4.0,3,4,1,0.22431367040114059,0.0007990397810935974,0.002,1.0,0.3995198905467987,1,ok
frontend,5,4.0,5.0,4,5,1,0.23443976562200688,0.0008038491010665894,0.002,1.0,0.4019245505332947,1,ok
frontend,6,5.0,6.0,5,6,1,0.2242792672798597,0.0008096896409988403,0.002,1.0,0.40484482049942017,1,ok
frontend,7,6.0,7.0,6,7,1,0.22746122585094666,0.0008046961426734924,0.002,1.0,0.4023480713367462,1,ok
frontend,1,0.0,1.0,0,1,1,0.21514279934927888,0.0007574589252471924,0.002,1.0,0.3787294626235962,1,ok
frontend,2,1.0,2.0,1,2,1,0.23945247138314465,0.0007668061256408691,0.002,1.0,0.38340306282043457,1,ok
frontend,3,2.0,3.0,2,3,1,0.22086696603286363,0.0007713115811347962,0.002,1.0,0.38565579056739807,1,ok
frontend,4,3.0,4.0,3,4,1,0.23120194710370576,0.0007838193774223328,0.002,1.0,0.3919096887111664,1,ok
frontend,5,4.0,5.0,4,5,1,0.2302811315850422,0.0007859190106391906,0.002,1.0,0.39295950531959534,1,ok
frontend,6,5.0,6.0,5,6,1,0.2277067676065017,0.0007904930710792542,0.002,1.0,0.3952465355396271,1,ok
frontend,7,6.0,7.0,6,7,1,0.2254663784116084,0.000785940945148468,0.002,1.0,0.392970472574234,1,ok
frontend,1,0.0,1.0,0,1,1,0.2255577905296946,0.0007405357956886292,0.002,1.0,0.3702678978443146,1,ok
frontend,2,1.0,2.0,1,2,1,0.23714449819698033,0.0007534741163253784,0.002,1.0,0.3767370581626892,1,ok
frontend,3,2.0,3.0,2,3,1,0.22479875213876913,0.000752837598323822,0.002,1.0,0.376418799161911,1,ok
frontend,4,3.0,4.0,3,4,1,0.2327562432122575,0.0007734243273735047,0.002,1.0,0.3867121636867523,1,ok
frontend,5,4.0,5.0,4,5,1,0.22876303656823707,0.0007734329104423523,0.002,1.0,0.38671645522117615,1,ok
frontend,6,5.0,6.0,5,6,1,0.22798732259205962,0.0007779695391654969,0.002,1.0,0.3889847695827484,1,ok
frontend,7,6.0,7.0,6,7,1,0.22702890181352814,0.0007748548388481141,0.002,1.0,0.387427419424057,1,ok
frontend,1,0.0,1.0,0,1,1,0.22864517927767664,0.0007264794707298279,0.002,1.0,0.36323973536491394,1,ok
frontend,2,1.0,2.0,1,2,1,0.23550961193786837,0.0007431734800338745,0.002,1.0,0.37158674001693726,1,ok
frontend,3,2.0,3.0,2,3,1,0.22770664978390984,0.0007400484085083008,0.002,1.0,0.3700242042541504,1,ok
frontend,4,3.0,4.0,3,4,1,0.23103678420990842,0.0007663905024528503,0.002,1.0,0.38319525122642517,1,ok
frontend,5,4.0,5.0,4,5,1,0.22977541998266746,0.0007645017504692078,0.002,1.0,0.3822508752346039,1,ok
frontend,6,5.0,6.0,5,6,1,0.22752915855014028,0.0007683907151222229,0.002,1.0,0.38419535756111145,1,ok
frontend,7,6.0,7.0,6,7,1,0.22708219659821186,0.0007674047946929932,0.002,1.0,0.3837023973464966,1,ok
frontend,1,0.0,1.0,0,1,1,0.22588031625397426,0.0007211736440658569,0.002,1.0,0.36058682203292847,1,ok
frontend,2,1.0,2.0,1,2,1,0.23462472679293436,0.0007392891645431519,0.002,1.0,0.3696445822715759,1,ok
frontend,3,2.0,3.0,2,3,1,0.2282557737539081,0.0007349711060523987,0.002,1.0,0.36748555302619934,1,ok
frontend,4,3.0,4.0,3,4,1,0.23085567975438265,0.0007616841793060303,0.002,1.0,0.38084208965301514,1,ok
frontend,5,4.0,5.0,4,5,1,0.2317732557281045,0.00075956791639328,0.002,1.0,0.37978395819664,1,ok
frontend,6,5.0,6.0,5,6,1,0.2268604586352797,0.0007632909417152405,0.002,1.0,0.38164547085762024,1,ok
frontend,7,6.0,7.0,6,7,1,0.22610229939916499,0.0007629838585853577,0.002,1.0,0.38149192929267883,1,ok
frontend,1,0.0,1.0,0,1,1,0.22479223241096022,0.000884360671043396,0.002,1.0,0.442180335521698,1,ok
frontend,2,1.0,2.0,1,2,1,0.2354428848040357,0.0007359243631362915,0.002,1.0,0.36796218156814575,1,ok
frontend,3,2.0,3.0,2,3,1,0.22629544601627513,0.0007304887175559998,0.002,1.0,0.3652443587779999,1,ok
frontend,4,3.0,4.0,3,4,1,0.23168214290358427,0.0007569689154624939,0.002,1.0,0.37848445773124695,1,ok
frontend,5,4.0,5.0,4,5,1,0.23432897766367095,0.0007545585632324219,0.002,1.0,0.37727928161621094,1,ok
frontend,6,5.0,6.0,5,6,1,0.22500218989160028,0.0009183185696601868,0.002,1.0,0.4591592848300934,1,ok
frontend,7,6.0,7.0,6,7,1,0.22641034326851014,0.000758086621761322,0.002,1.0,0.379043310880661,1,ok
frontend,1,0.0,1.0,0,1,1,0.2254719753218643,0.0007636983990669251,0.002,1.0,0.3818491995334625,1,ok
frontend,2,1.0,2.0,1,2,1,0.23599564225973477,0.0007359316349029541,0.002,1.0,0.36796581745147705,1,ok
frontend,3,2.0,3.0,2,3,1,0.22546581187515638,0.0007295483946800233,0.002,1.0,0.3647741973400116,1,ok
frontend,4,3.0,4.0,3,4,1,0.23163017648667958,0.0007553074359893799,0.002,1.0,0.37765371799468994,1,ok
frontend,5,4.0,5.0,4,5,1,0.23607195216948149,0.0007527493238449097,0.002,1.0,0.37637466192245483,1,ok
frontend,6,5.0,6.0,5,6,1,0.2241566897030614,0.0007982204556465149,0.002,1.0,0.39911022782325745,1,ok
frontend,7,6.0,7.0,6,7,1,0.2266803650252122,0.0007568531036376954,0.002,1.0,0.37842655181884766,1,ok
frontend,1,0.0,1.0,0,1,1,0.22456450882627946,0.0007422516345977784,0.002,1.0,0.37112581729888916,1,ok
frontend,2,1.0,2.0,1,2,1,0.23643139286293685,0.000735333263874054,0.002,1.0,0.367666631937027,1,ok
frontend,3,2.0,3.0,2,3,1,0.225831138218555,0.0007290754914283752,0.002,1.0,0.3645377457141876,1,ok
frontend,4,3.0,4.0,3,4,1,0.23086718333153658,0.000753406286239624,0.002,1.0,0.376703143119812,1,ok
frontend,5,4.0,5.0,4,5,1,0.23702490748317145,0.0007503507733345032,0.002,1.0,0.3751753866672516,1,ok
frontend,6,5.0,6.0,5,6,1,0.2244538676848091,0.0007758674621582032,0.002,1.0,0.38793373107910156,1,ok
frontend,7,6.0,7.0,6,7,1,0.2267649485764789,0.0007546390891075135,0.002,1.0,0.3773195445537567,1,ok
frontend,1,0.0,1.0,0,1,1,0.22250047830957057,0.0007355305552482605,0.002,1.0,0.36776527762413025,1,ok
frontend,2,1.0,2.0,1,2,1,0.23795621103262768,0.0007353749275207519,0.002,1.0,0.367687463760376,1,ok
frontend,3,2.0,3.0,2,3,1,0.2259991474886117,0.0007295629382133484,0.002,1.0,0.3647814691066742,1,ok
frontend,4,3.0,4.0,3,4,1,0.230122332171142,0.0007530753016471863,0.002,1.0,0.37653765082359314,1,ok
frontend,5,4.0,5.0,4,5,1,0.23768567574245084,0.0007496439218521118,0.002,1.0,0.3748219609260559,1,ok
frontend,6,5.0,6.0,5,6,1,0.22503588508147543,0.0007685257196426391,0.002,1.0,0.3842628598213196,1,ok
frontend,7,6.0,7.0,6,7,1,0.22642824779640278,0.0007541077136993408,0.002,1.0,0.3770538568496704,1,ok
frontend,1,0.0,1.0,0,1,1,0.22191178905906656,0.0007320207357406616,0.002,1.0,0.3660103678703308,1,ok
frontend,2,1.0,2.0,1,2,1,0.23880600181189918,0.0007347405552864075,0.002,1.0,0.36737027764320374,1,ok
frontend,3,2.0,3.0,2,3,1,0.22595344343389415,0.0007296276092529297,0.002,1.0,0.36481380462646484,1,ok
frontend,4,3.0,4.0,3,4,1,0.22956914025669825,0.0007521489262580872,0.002,1.0,0.3760744631290436,1,ok
frontend,5,4.0,5.0,4,5,1,0.23797614138914522,0.0007486889362335206,0.002,1.0,0.37434446811676025,1,ok
frontend,6,5.0,6.0,5,6,1,0.22487082107115286,0.0007640498280525208,0.002,1.0,0.3820249140262604,1,ok
frontend,7,6.0,7.0,6,7,1,0.22649694192955144,0.0007528717517852784,0.002,1.0,0.37643587589263916,1,ok
frontend,1,0.0,1.0,0,1,1,0.2220711109994737,0.0007298722267150879,0.002,1.0,0.36493611335754395,1,ok
frontend,2,1.0,2.0,1,2,1,0.23895556240876978,0.0007343704700469971,0.002,1.0,0.36718523502349854,1,ok
frontend,3,2.0,3.0,2,3,1,0.22595164505065504,0.0007300022244453431,0.002,1.0,0.3650011122226715,1,ok
frontend,4,3.0,4.0,3,4,1,0.22927416522000638,0.0007519994378089905,0.002,1.0,0.37599971890449524,1,ok
frontend,5,4.0,5.0,4,5,1,0.238353075300222,0.0007486233711242676,0.002,1.0,0.3743116855621338,1,ok
frontend,6,5.0,6.0,5,6,1,0.22474839100734445,0.000761361837387085,0.002,1.0,0.3806809186935425,1,ok
frontend,7,6.0,7.0,6,7,1,0.22645148431498907,0.0007527175545692444,0.002,1.0,0.3763587772846222,1,ok
frontend,1,0.0,1.0,0,1,1,0.22208256018692832,0.000728525996208191,0.002,1.0,0.36426299810409546,1,ok
frontend,2,1.0,2.0,1,2,1,0.23893960210676957,0.0007336794137954712,0.002,1.0,0.3668397068977356,1,ok
frontend,3,2.0,3.0,2,3,1,0.22616880135683445,0.0007299060821533203,0.002,1.0,0.36495304107666016,1,ok
frontend,4,3.0,4.0,3,4,1,0.2290830891761356,0.0007514835000038147,0.002,1.0,0.37574175000190735,1,ok
frontend,5,4.0,5.0,4,5,1,0.23837833748263346,0.0007482014894485473,0.002,1.0,0.3741007447242737,1,ok
frontend,6,5.0,6.0,5,6,1,0.22477013217536945,0.0007590397596359253,0.002,1.0,0.37951987981796265,1,ok
frontend,7,6.0,7.0,6,7,1,0.2265397158408634,0.000751948595046997,0.002,1.0,0.37597429752349854,1,ok
frontend,1,0.0,1.0,0,1,1,0.22209396156162006,0.000727874219417572,0.002,1.0,0.363937109708786,1,ok
frontend,2,1.0,2.0,1,2,1,0.238853454343022,0.0007333012223243714,0.002,1.0,0.36665061116218567,1,ok
frontend,3,2.0,3.0,2,3,1,0.22606738181173802,0.0007298182845115661,0.002,1.0,0.3649091422557831,1,ok
frontend,4,3.0,4.0,3,4,1,0.22908486361940303,0.0007513996958732605,0.002,1.0,0.37569984793663025,1,ok
frontend,5,4.0,5.0,4,5,1,0.23846246419344952,0.000748161792755127,0.002,1.0,0.3740808963775635,1,ok
frontend,6,5.0,6.0,5,6,1,0.2248027443396886,0.0007576519846916199,0.002,1.0,0.37882599234580994,1,ok
frontend,7,6.0,7.0,6,7,1,0.22644000575632628,0.0007517082095146179,0.002,1.0,0.37585410475730896,1,ok
frontend,1,0.0,1.0,0,1,1,0.2172218523671626,0.0011516017913818359,0.002,1.0,0.575800895690918,1,ok
frontend,2,1.0,2.0,1,2,1,0.24314378796530578,0.0011607630252838134,0.002,1.0,0.5803815126419067,1,ok
frontend,3,2.0,3.0,2,3,1,0.22741371289210247,0.0010768191814422609,0.002,1.0,0.5384095907211304,1,ok
frontend,4,3.0,4.0,3,4,1,0.23536293509549153,0.0007508677244186402,0.002,1.0,0.37543386220932007,1,ok
frontend,5,4.0,5.0,4,5,1,0.24153009315671004,0.0009479461312294007,0.002,1.0,0.4739730656147003,1,ok
frontend,6,5.0,6.0,5,6,1,0.22083575365508135,0.0009137039184570312,0.002,1.0,0.4568519592285156,1,ok
frontend,7,6.0,7.0,6,7,1,0.24326804425865978,0.001087802529335022,0.002,1.0,0.543901264667511,1,ok
frontend,8,7.0,8.0,7,8,1,0.2170338001193012,0.0015459684133529664,0.002,1.0,0.7729842066764832,1,ok
frontend,1,0.0,1.0,0,1,1,0.22190453905860807,0.0008540154099464417,0.002,1.0,0.4270077049732208,1,ok
frontend,2,1.0,2.0,1,2,1,0.23799222418433963,0.0008553632497787475,0.002,1.0,0.4276816248893738,1,ok
frontend,3,2.0,3.0,2,3,1,0.22645525560607685,0.0008414050936698913,0.002,1.0,0.4207025468349457,1,ok
frontend,4,3.0,4.0,3,4,1,0.2315540287989688,0.0007501152753829956,0.002,1.0,0.3750576376914978,1,ok
frontend,5,4.0,5.0,4,5,1,0.23641340073422157,0.0007845615744590759,0.002,1.0,0.39228078722953796,1,ok
frontend,6,5.0,6.0,5,6,1,0.224585934758002,0.0007929838895797729,0.002,1.0,0.3964919447898865,1,ok
frontend,7,6.0,7.0,6,7,1,0.22991725961176332,0.0008220939040184021,0.002,1.0,0.41104695200920105,1,ok
frontend,8,7.0,8.0,7,8,1,0.22910271175690475,0.0009533850550651551,0.002,1.0,0.4766925275325775,1,ok
frontend,1,0.0,1.0,0,1,1,0.22397981202870162,0.0008019236326217652,0.002,1.0,0.40096181631088257,1,ok
frontend,2,1.0,2.0,1,2,1,0.2358305511700027,0.0008047020435333252,0.002,1.0,0.4023510217666626,1,ok
frontend,3,2.0,3.0,2,3,1,0.22560076788721367,0.0007971130609512329,0.002,1.0,0.39855653047561646,1,ok
frontend,4,3.0,4.0,3,4,1,0.23075848931135565,0.0007506557106971741,0.002,1.0,0.37532785534858704,1,ok
frontend,5,4.0,5.0,4,5,1,0.23989112633427018,0.000763575792312622,0.002,1.0,0.38178789615631104,1,ok
frontend,6,5.0,6.0,5,6,1,0.2239698182653688,0.0007712607383728027,0.002,1.0,0.38563036918640137,1,ok
frontend,7,6.0,7.0,6,7,1,0.22357294658553342,0.0007829716205596924,0.002,1.0,0.3914858102798462,1,ok
frontend,8,7.0,8.0,7,8,1,0.22701422641250243,0.0008452687263488769,0.002,1.0,0.4226343631744385,1,ok
frontend,1,0.0,1.0,0,1,1,0.22700012237266332,0.0007867522239685059,0.002,1.0,0.39337611198425293,1,ok
frontend,2,1.0,2.0,1,2,1,0.24465290208791335,0.0010399560928344726,0.002,1.0,0.5199780464172363,1,ok
frontend,3,2.0,3.0,2,3,1,0.22458569291714747,0.001037251114845276,0.002,1.0,0.5186255574226379,1,ok
frontend,4,3.0,4.0,3,4,1,0.2359499309864678,0.0010387051105499269,0.002,1.0,0.5193525552749634,1,ok
frontend,5,4.0,5.0,4,5,1,0.23188029962911214,0.000882935106754303,0.002,1.0,0.4414675533771515,1,ok
frontend,6,5.0,7.0,5,7,2,0.4497720872118078,0.0009911591410636902,0.002,1.0,0.4955795705318451,1,ok
frontend,7,7.0,8.0,7,8,1,0.23399292928347765,0.0010549830198287964,0.002,1.0,0.5274915099143982,1,ok
frontend,8,8.0,9.0,8,9,1,0.2590949095561211,0.0014798420667648316,0.002,1.0,0.7399210333824158,1,ok
frontend,1,0.0,1.0,0,1,1,0.2333248063354023,0.0007742228507995606,0.002,1.0,0.3871114253997803,1,ok
frontend,2,1.0,2.0,1,2,1,0.2378865938888537,0.0008047969341278076,0.002,1.0,0.4023984670639038,1,ok
frontend,3,2.0,3.0,2,3,1,0.22413247389395108,0.0008405175805091858,0.002,1.0,0.4202587902545929,1,ok
frontend,4,3.0,4.0,3,4,1,0.22899993978817332,0.0008089889287948609,0.002,1.0,0.4044944643974304,1,ok
frontend,5,4.0,5.0,4,5,1,0.23861293751917492,0.0007712435126304626,0.002,1.0,0.3856217563152313,1,ok
frontend,6,5.0,7.0,5,7,2,0.44798740536311044,0.0008040478825569153,0.002,1.0,0.40202394127845764,1,ok
frontend,7,7.0,8.0,7,8,1,0.2239163179326577,0.0008291305899620057,0.002,1.0,0.4145652949810028,1,ok
frontend,8,8.0,9.0,8,9,1,0.2574383640662588,0.0008414378166198731,0.002,1.0,0.4207189083099365,1,ok
frontend,1,0.0,1.0,0,1,1,0.22550306667564293,0.0007663197517395019,0.002,1.0,0.383159875869751,1,ok
frontend,2,1.0,2.0,1,2,1,0.23557458153544306,0.0007782626152038574,0.002,1.0,0.3891313076019287,1,ok
frontend,3,2.0,3.0,2,3,1,0.2257857397457192,0.0008028965592384339,0.002,1.0,0.4014482796192169,1,ok
frontend,4,3.0,4.0,3,4,1,0.2267990279079842,0.0007775793671607971,0.002,1.0,0.38878968358039856,1,ok
frontend,5,4.0,5.0,4,5,1,0.23974073266546092,0.0007535190582275391,0.002,1.0,0.37675952911376953,1,ok
frontend,6,5.0,7.0,5,7,2,0.44829714952442196,0.0007717536687850953,0.002,1.0,0.3858768343925476,1,ok
frontend,7,7.0,8.0,7,8,1,0.22319821870133524,0.0007916407585144043,0.002,1.0,0.39582037925720215,1,ok
frontend,8,8.0,9.0,8,9,1,0.2294176901901402,0.0007748290896415711,0.002,1.0,0.3874145448207855,1,ok
frontend,1,0.0,1.0,0,1,1,0.2233936566936775,0.0011430525779724122,0.002,1.0,0.571526288986206,1,ok
frontend,2,1.0,2.0,1,2,1,0.2370395650583168,0.0007786561250686646,0.002,1.0,0.3893280625343323,1,ok
frontend,3,2.0,3.0,2,3,1,0.22680943208929394,0.0011389411687850951,0.002,1.0,0.5694705843925476,1,ok
frontend,4,3.0,4.0,3,4,1,0.2267624723704565,0.0007982698678970338,0.002,1.0,0.39913493394851685,1,ok
frontend,5,4.0,5.0,4,5,1,0.23801684279811186,0.0009422953724861145,0.002,1.0,0.47114768624305725,1,ok
frontend,6,5.0,8.0,5,8,3,0.6738851020556496,0.0008991954326629639,0.002,1.0,0.44959771633148193,1,ok
frontend,7,8.0,9.0,8,9,1,0.22531261298916078,0.0008966271281242371,0.002,1.0,0.44831356406211853,1,ok
frontend,8,9.0,10.0,9,10,1,0.2360123587308659,0.0015153847932815553,0.002,1.0,0.7576923966407776,1,ok
frontend,1,0.0,1.0,0,1,1,0.22295343400453652,0.0008603600859642029,0.002,1.0,0.43018004298210144,1,ok
frontend,2,1.0,2.0,1,2,1,0.2368721913382229,0.0007710909843444824,0.002,1.0,0.3855454921722412,1,ok
frontend,3,2.0,3.0,2,3,1,0.22578298875193814,0.0008608230352401733,0.002,1.0,0.43041151762008667,1,ok
frontend,4,3.0,4.0,3,4,1,0.2274789807388553,0.0007783199548721313,0.002,1.0,0.3891599774360657,1,ok
frontend,5,4.0,5.0,4,5,1,0.23897474471937316,0.0007960087060928344,0.002,1.0,0.39800435304641724,1,ok
frontend,6,5.0,8.0,5,8,3,0.670748687083525,0.0007980415225028992,0.002,1.0,0.3990207612514496,1,ok
frontend,7,8.0,9.0,8,9,1,0.22980126679534085,0.0007825376391410828,0.002,1.0,0.3912688195705414,1,ok
frontend,8,9.0,10.0,9,10,1,0.2333578587492231,0.0009479409456253051,0.002,1.0,0.4739704728126526,1,ok
frontend,1,0.0,1.0,0,1,1,0.22427832887020632,0.0008046836853027344,0.002,1.0,0.4023418426513672,1,ok
frontend,2,1.0,2.0,1,2,1,0.2359923348473185,0.0007653541564941407,0.002,1.0,0.3826770782470703,1,ok
frontend,3,2.0,3.0,2,3,1,0.2258362603012175,0.0008079171180725098,0.002,1.0,0.4039585590362549,1,ok
frontend,4,3.0,4.0,3,4,1,0.22941402160657,0.0007702996134757996,0.002,1.0,0.3851498067378998,1,ok
frontend,5,4.0,5.0,4,5,1,0.2376740044274952,0.0007627691030502319,0.002,1.0,0.38138455152511597,1,ok
frontend,6,5.0,8.0,5,8,3,0.669691168031212,0.0007769153714179993,0.002,1.0,0.38845768570899963,1,ok
frontend,7,8.0,9.0,8,9,1,0.23062740528792816,0.000759259283542633,0.002,1.0,0.37962964177131653,1,ok
frontend,8,9.0,10.0,9,10,1,0.23476398629784526,0.0008443151712417602,0.002,1.0,0.4221575856208801,1,ok
frontend,1,0.0,1.0,0,1,1,0.23461751355880697,0.0008130772113800049,0.002,1.0,0.40653860569000244,1,ok
frontend,2,1.0,2.0,1,2,1,0.24333131636344654,0.0011584153175354004,0.002,1.0,0.5792076587677002,1,ok
frontend,3,2.0,3.0,2,3,1,0.2249999281331734,0.0011684445142745971,0.002,1.0,0.5842222571372986,1,ok
frontend,4,3.0,4.0,3,4,1,0.22978421677613256,0.0012764509916305543,0.002,1.0,0.6382254958152771,1,ok
frontend,5,4.0,5.0,4,5,1,0.23993495637944837,0.0009508862495422363,0.002,1.0,0.47544312477111816,1,ok
frontend,6,5.0,9.0,5,9,4,0.8973165034317492,0.0009753432869911194,0.002,1.0,0.4876716434955597,1,ok
frontend,7,9.0,10.0,9,10,1,0.23983520547101553,0.0010550929307937623,0.002,1.0,0.5275464653968811,1,ok
frontend,8,10.0,11.0,10,11,1,0.2955554186532114,0.0014833855628967286,0.002,1.0,0.7416927814483643,1,ok
frontend,1,0.0,1.0,0,1,1,0.22862046504202888,0.0007901608347892762,0.002,1.0,0.39508041739463806,1,ok
frontend,2,1.0,2.0,1,2,1,0.2376247736319616,0.000800352394580841,0.002,1.0,0.40017619729042053,1,ok
frontend,3,2.0,3.0,2,3,1,0.22383848993853012,0.0008661836981773376,0.002,1.0,0.4330918490886688,1,ok
frontend,4,3.0,4.0,3,4,1,0.22977577323716594,0.0008529686331748963,0.002,1.0,0.4264843165874481,1,ok
frontend,5,4.0,5.0,4,5,1,0.23485698637869493,0.0007685675621032715,0.002,1.0,0.38428378105163574,1,ok
frontend,6,5.0,9.0,5,9,4,0.9034244926340367,0.0007888025641441345,0.002,1.0,0.39440128207206726,1,ok
frontend,7,9.0,10.0,9,10,1,0.23485714529523055,0.0008329399228096009,0.002,1.0,0.4164699614048004,1,ok
frontend,8,10.0,11.0,10,11,1,0.2609000793674745,0.000854038953781128,0.002,1.0,0.42701947689056396,1,ok
frontend,1,0.0,1.0,0,1,1,0.22628400995580567,0.0007784615755081177,0.002,1.0,0.38923078775405884,1,ok
frontend,2,1.0,2.0,1,2,1,0.23673617095247454,0.0007509618401527405,0.002,1.0,0.37548092007637024,1,ok
frontend,3,2.0,3.0,2,3,1,0.22501444622318437,0.0008081531524658203,0.002,1.0,0.40407657623291016,1,ok
frontend,4,3.0,4.0,3,4,1,0.23068434591584538,0.0007863251566886902,0.002,1.0,0.3931625783443451,1,ok
frontend,5,4.0,5.0,4,5,1,0.23217807123352047,0.0007396627068519592,0.002,1.0,0.3698313534259796,1,ok
frontend,6,5.0,9.0,5,9,4,0.9036284973254815,0.0007573384642601014,0.002,1.0,0.37866923213005066,1,ok
frontend,7,9.0,10.0,9,10,1,0.23360583528881948,0.0007892504334449769,0.002,1.0,0.3946252167224884,1,ok
frontend,8,10.0,11.0,10,11,1,0.22119215122077304,0.0007609593868255616,0.002,1.0,0.38047969341278076,1,ok
frontend,1,0.0,1.0,0,1,1,0.22609306752491656,0.00110019850730896,0.002,1.0,0.55009925365448,1,ok
frontend,2,1.0,2.0,1,2,1,0.2372460190331339,0.0007413802146911621,0.002,1.0,0.37069010734558105,1,ok
frontend,3,2.0,3.0,2,3,1,0.22706443499884496,0.001060141921043396,0.002,1.0,0.530070960521698,1,ok
frontend,4,3.0,4.0,3,4,1,0.22757185716092387,0.0007761874198913575,0.002,1.0,0.3880937099456787,1,ok
frontend,5,4.0,5.0,4,5,1,0.23389721946136757,0.0009226601719856262,0.002,1.0,0.4613300859928131,1,ok
frontend,6,5.0,10.0,5,10,5,1.1359304734510507,0.0008981364369392396,0.002,1.0,0.44906821846961975,1,ok
frontend,7,10.0,11.0,10,11,1,0.2096207610320629,0.0008675338625907898,0.002,1.0,0.4337669312953949,1,ok
frontend,8,11.0,12.0,11,12,1,0.23672298442497902,0.0014736076593399048,0.002,1.0,0.7368038296699524,1,ok
frontend,1,0.0,1.0,0,1,1,0.22642116960339254,0.0008407596945762634,0.002,1.0,0.4203798472881317,1,ok
frontend,2,1.0,2.0,1,2,1,0.23664286029878606,0.0007607320547103882,0.002,1.0,0.3803660273551941,1,ok
frontend,3,2.0,3.0,2,3,1,0.2274089659422716,0.0008244466781616211,0.002,1.0,0.41222333908081055,1,ok
frontend,4,3.0,4.0,3,4,1,0.2281682350252914,0.0007708273530006408,0.002,1.0,0.38541367650032043,1,ok
frontend,5,4.0,5.0,4,5,1,0.23510891037965118,0.0007841848731040955,0.002,1.0,0.39209243655204773,1,ok
frontend,6,5.0,10.0,5,10,5,1.134818177205894,0.0007983391284942627,0.002,1.0,0.39916956424713135,1,ok
frontend,7,10.0,11.0,10,11,1,0.2192079830485961,0.0007763049006462098,0.002,1.0,0.38815245032310486,1,ok
frontend,8,11.0,12.0,11,12,1,0.23574680298901768,0.0009283177256584167,0.002,1.0,0.4641588628292084,1,ok
frontend,1,0.0,1.0,0,1,1,0.22569641521377395,0.0007945964336395264,0.002,1.0,0.3972982168197632,1,ok
frontend,2,1.0,2.0,1,2,1,0.23625680748897926,0.0007572581768035889,0.002,1.0,0.37862908840179443,1,ok
frontend,3,2.0,3.0,2,3,1,0.22844716402754645,0.0007792052626609803,0.002,1.0,0.3896026313304901,1,ok
frontend,4,3.0,4.0,3,4,1,0.2287988165147962,0.000768050491809845,0.002,1.0,0.3840252459049225,1,ok
